SeniorCitizen,Partner,Dependents,OnlineSecurity,TechSupport,Contract,PaperlessBilling,tenure,MonthlyCharges,TotalCharges,Churn
No,Yes,No,No,No,Month-to-month,Yes,1,29.85,29.85,0
No,No,No,Yes,No,One year,No,34,56.95,1936.3000000000002,0
No,No,No,Yes,No,Month-to-month,Yes,2,53.85,107.7,1
No,No,No,Yes,Yes,One year,No,45,42.3,1903.4999999999998,0
No,No,No,No,No,Month-to-month,Yes,2,70.7,141.4,1
No,No,No,No,No,Month-to-month,Yes,8,99.65,797.2,1
No,No,Yes,No,No,Month-to-month,Yes,22,89.1,1960.1999999999998,0
No,No,No,Yes,No,Month-to-month,No,10,29.75,297.5,0
No,Yes,No,No,Yes,Month-to-month,Yes,28,104.8,2934.4,1
No,No,Yes,Yes,No,One year,No,62,56.15,3481.2999999999997,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,13,49.95,649.35,0
No,No,No,No,No,Two year,No,16,18.95,303.2,0
No,Yes,No,No,No,One year,No,58,100.35,5820.299999999999,0
No,No,No,No,No,Month-to-month,Yes,49,103.7,5081.3,1
No,No,No,Yes,Yes,Month-to-month,Yes,25,105.5,2637.5,0
No,Yes,Yes,Yes,Yes,Two year,No,69,113.25,7814.25,0
No,No,No,No,No,One year,No,52,20.65,1073.8,0
No,No,Yes,Yes,No,Two year,No,71,106.7,7575.7,0
No,Yes,Yes,No,Yes,Month-to-month,No,10,55.2,552.0,1
No,No,No,No,No,Month-to-month,Yes,21,90.05,1891.05,0
Yes,No,No,No,No,Month-to-month,Yes,1,39.65,39.65,1
No,Yes,No,No,No,One year,No,12,19.8,237.60000000000002,0
No,No,No,No,No,Month-to-month,No,1,20.15,20.15,1
No,Yes,No,No,Yes,Two year,Yes,58,59.9,3474.2,0
No,Yes,Yes,Yes,Yes,Month-to-month,No,49,59.6,2920.4,0
No,No,No,Yes,No,Month-to-month,Yes,30,55.3,1659.0,0
No,Yes,Yes,No,No,Month-to-month,Yes,47,99.35,4669.45,1
No,Yes,Yes,No,No,Month-to-month,No,1,30.2,30.2,1
No,Yes,No,Yes,Yes,Two year,Yes,72,90.25,6498.0,0
No,No,Yes,No,No,Month-to-month,Yes,17,64.7,1099.9,1
Yes,Yes,No,Yes,Yes,Two year,Yes,71,96.35,6840.849999999999,0
Yes,Yes,No,No,No,Month-to-month,Yes,2,95.5,191.0,0
No,Yes,Yes,Yes,Yes,One year,No,27,66.15,1786.0500000000002,0
No,No,No,No,No,Month-to-month,No,1,20.2,20.2,0
Yes,No,No,No,No,Month-to-month,No,1,45.25,45.25,0
No,Yes,Yes,Yes,Yes,Two year,No,72,99.9,7192.8,0
No,No,No,No,No,Month-to-month,Yes,5,69.7,348.5,1
No,No,No,No,No,Month-to-month,Yes,46,74.8,3440.7999999999997,0
No,No,No,No,No,Month-to-month,Yes,34,106.35,3615.8999999999996,1
